Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonS3,ReadACL,EU-USW2-AWS-Out-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,7756
AmazonS3,StandardStorage,StorageObjectCount,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,279499
AmazonS3,GetObject,EU-Requests-Tier2,dmap-live-dwh-files,07/01/20 00:00:00,07/02/20 00:00:00,49
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,cf-templates-1q938a0vie91x-eu-west-1,07/01/20 00:00:00,07/02/20 00:00:00,159476616
AmazonS3,HeadObject,EU-Requests-Tier2,dmap-prod-sync-stage,07/01/20 00:00:00,07/02/20 00:00:00,16128
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dataquality.seera.report,07/01/20 00:00:00,07/02/20 00:00:00,1170451680
AmazonS3,ReadACL,EU-APS3-AWS-Out-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,7756
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-sap-omr,07/01/20 00:00:00,07/02/20 00:00:00,2089522215408
AmazonS3,InitiateMultipartUpload,EU-USE1-AWS-Out-Bytes,dmap-prod-braze,07/01/20 00:00:00,07/02/20 00:00:00,3373407
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,qa.ingestion.reports,07/01/20 00:00:00,07/02/20 00:00:00,1344268752
AmazonS3,ReadACL,EU-C3DataTransfer-Out-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,195008
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-prod-dwh-files,07/01/20 00:00:00,07/02/20 00:00:00,2290148090952
AmazonS3,PutObject,EU-C3DataTransfer-In-Bytes,dmap-sap-daas,07/01/20 00:00:00,07/02/20 00:00:00,247238
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,prod-rds-error-slowquey-logs,07/01/20 00:00:00,07/02/20 00:00:00,3768
AmazonS3,ReadACL,EU-USW1-AWS-Out-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,7756
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,prod-winter-at-tantora-bigquery,07/01/20 00:00:00,07/02/20 00:00:00,539649888
AmazonS3,ReadACL,EU-APN2-AWS-Out-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,8310
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,prod-fin-mgmt-report,07/01/20 00:00:00,07/02/20 00:00:00,1384193928
AmazonS3,UploadPart,EU-USE1-AWS-In-Bytes,dmap-prod-braze,07/01/20 00:00:00,07/02/20 00:00:00,53299224
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-prod-cf,07/01/20 00:00:00,07/02/20 00:00:00,481632
AmazonS3,InitiateMultipartUpload,EU-Requests-Tier1,dmap-prod-braze,07/01/20 00:00:00,07/02/20 00:00:00,5919
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-sap-daas,07/01/20 00:00:00,07/02/20 00:00:00,45505582752
AmazonS3,ReadACL,EU-APS1-AWS-Out-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,8310
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-tableau-backup,07/01/20 00:00:00,07/02/20 00:00:00,16266068834376
AmazonS3,ReadACL,EU-APN1-AWS-Out-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,7756
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,esmash,07/01/20 00:00:00,07/02/20 00:00:00,3363427992
AmazonS3,PutObject,EU-APE1-AWS-In-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,17168
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-prod-sync-stage,07/01/20 00:00:00,07/02/20 00:00:00,6048126288
AmazonS3,HeadObject,EU-C3DataTransfer-Out-Bytes,dmap-prod-sync-stage,07/01/20 00:00:00,07/02/20 00:00:00,4810752
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-prod-datascience,07/01/20 00:00:00,07/02/20 00:00:00,173560252464
AmazonS3,ReadACL,EU-EUN1-AWS-Out-Bytes,dmap-prod-cloud-trail,07/01/20 00:00:00,07/02/20 00:00:00,8310
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,prod-qa-reports,07/01/20 00:00:00,07/02/20 00:00:00,64148064
AmazonS3,CompleteMultipartUpload,EU-Requests-Tier1,dmap-prod-braze,07/01/20 00:00:00,07/02/20 00:00:00,5919
AmazonS3,StandardStorage,EU-TimedStorage-ByteHrs,dmap-prod,07/01/20 00:00:00,07/02/20 00:00:00,83644378152
